2016-07-09 18:51:55,050 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-09 18:51:55,050 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:51:55,065 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\workspace\SpringMVC\SpringMVC\src\test\resources
2016-07-09 18:52:02,989 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:03,005 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-09 18:52:03,005 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:03,005 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\workspace\SpringMVC\SpringMVC\src\test\resources
2016-07-09 18:52:09,928 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:09,928 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-09 18:52:09,928 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:09,943 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\workspace\SpringMVC\SpringMVC\src\test\resources
2016-07-09 18:52:15,591 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:15,606 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-09 18:52:15,606 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:15,606 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\workspace\SpringMVC\SpringMVC\src\test\resources
2016-07-09 18:52:25,545 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:25,560 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-09 18:52:25,560 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:25,560 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\workspace\SpringMVC\SpringMVC\src\test\resources
2016-07-09 18:52:30,224 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:30,240 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-09 18:52:30,240 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:30,240 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\workspace\SpringMVC\SpringMVC\src\test\resources
2016-07-09 18:52:33,960 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:33,976 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2016-07-09 18:52:33,976 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-09 18:52:33,976 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory E:\workspace\SpringMVC\SpringMVC\src\test\resources
